
SetupTitle, inv-vovg
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50, 50
TestParameter, Measurement.Timing.Hold, 4
TestParameter, Measurement.Timing.Delay, 0
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Function.User.Name, absIdd, absIbg
TestParameter, Function.User.Unit, A, A
TestParameter, Function.User.Definition, abs(Idd), abs(Ibg)
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, Vbg
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, 0
TestParameter, Output.Graph.XAxis.Right, 3
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, absIdd, absIbg, Vo1
TestParameter, Output.Graph.YAxis.Scale, Linear, Linear, Linear
TestParameter, Output.Graph.YAxis.Bottom, 0, 0, -5
TestParameter, Output.Graph.YAxis.Top, 1, 1, 5
TestParameter, Output.Graph.YAxis.Group, , , 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true, true, true
TestParameter, Output.List.Data, Vbg, Vo2, Vo1, Vbg, Vdd, Ibg, Idd, absIdd, absIbg
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Var2StepCount, 1
TestParameter, AutoAnalysis.Var2StepScript, 
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 01/11/2023 00:40:24
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 5
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, b1d4252a-edc2-4e3b-be00-72331a64aef3
MetaData, TestRecord.Parameters, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Vbg
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 3
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, absIdd, absIbg, Vo1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true, true, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A, V
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear, Linear, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-06, 0, 0.17
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 9.2E-06, 7.1E-12, 2.7
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 60975.487804878059
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 60975.487804878059
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 60975.487804878059
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 60975.487804878059
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 60975.487804878059
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU4:HR, Name=Vbg, Direction=Double, Linear/Log=LINEAR, Start=0 V, Stop=3 V, Step=30 mV, No. of Steps=101, Compliance=10 nA, Pwr Comp=OFF	[VAR2] Unit=SMU1:HP, Name=Vdd, Start=1 V, Stop=3 V, Step=1 V, No. of Steps=3, Compliance=1 mA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU2:HP, Name=Io1, Source Mode=I, Source=10 pA, Compliance=5 V	[CONSTANTS] Unit=SMU3:HR, Name=VSS, Source Mode=V, Source=0 V, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, Vdd	1,2,3	1	1	3
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, Vbg, Vo2, Vo1, Vbg, Vdd, Ibg, Idd, absIdd, absIbg
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, V, V, V, V, A, A, A, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, inv-vovg
Dimension1, 202, 202, 202, 202, 202, 202, 202, 202
Dimension2, 3, 3, 3, 3, 3, 3, 3, 3
DataName, Vbg, Vdd, Ibg, Idd, Vo1, absIdd, absIbg, Vo2
DataValue, 0, 1, 3.7000000000000004E-13, 1.1392E-06, 0.84736, 1.1392E-06, 3.7000000000000004E-13, 
DataValue, 0.03, 1, 5.4E-13, 1.1321000000000001E-06, 0.84871999999999992, 1.1321000000000001E-06, 5.4E-13, 
DataValue, 0.06, 1, 4.4000000000000004E-13, 1.1373E-06, 0.84795999999999994, 1.1373E-06, 4.4000000000000004E-13, 
DataValue, 0.09, 1, 2.1000000000000001E-13, 1.1461000000000001E-06, 0.84483999999999992, 1.1461000000000001E-06, 2.1000000000000001E-13, 
DataValue, 0.12, 1, 3.6000000000000003E-13, 1.1463000000000002E-06, 0.84315999999999991, 1.1463000000000002E-06, 3.6000000000000003E-13, 
DataValue, 0.15, 1, 1.4E-13, 1.1350000000000001E-06, 0.84471999999999992, 1.1350000000000001E-06, 1.4E-13, 
DataValue, 0.18, 1, -2E-13, 1.1422E-06, 0.84364, 1.1422E-06, 2E-13, 
DataValue, 0.21, 1, 7.3E-13, 1.1583000000000002E-06, 0.83816, 1.1583000000000002E-06, 7.3E-13, 
DataValue, 0.24, 1, 4.3000000000000004E-13, 1.1699E-06, 0.83716, 1.1699E-06, 4.3000000000000004E-13, 
DataValue, 0.27, 1, -2.7E-13, 1.1838000000000002E-06, 0.83424, 1.1838000000000002E-06, 2.7E-13, 
DataValue, 0.3, 1, 1.3E-13, 1.1818E-06, 0.83204, 1.1818E-06, 1.3E-13, 
DataValue, 0.33, 1, 2E-13, 1.1775000000000002E-06, 0.82924, 1.1775000000000002E-06, 2E-13, 
DataValue, 0.36, 1, 1.8000000000000002E-13, 1.1841E-06, 0.82707999999999993, 1.1841E-06, 1.8000000000000002E-13, 
DataValue, 0.39, 1, 6.5000000000000006E-13, 1.1995000000000001E-06, 0.81851999999999991, 1.1995000000000001E-06, 6.5000000000000006E-13, 
DataValue, 0.42, 1, 8.8000000000000009E-13, 1.2207E-06, 0.81156, 1.2207E-06, 8.8000000000000009E-13, 
DataValue, 0.45, 1, 1.0000000000000002E-14, 1.2255000000000002E-06, 0.80331999999999992, 1.2255000000000002E-06, 1.0000000000000002E-14, 
DataValue, 0.48, 1, 3.4E-13, 1.2414E-06, 0.79231999999999991, 1.2414E-06, 3.4E-13, 
DataValue, 0.51, 1, 3.0000000000000005E-14, 1.2390000000000001E-06, 0.78055999999999992, 1.2390000000000001E-06, 3.0000000000000005E-14, 
DataValue, 0.54, 1, 2.4300000000000003E-12, 1.2573000000000002E-06, 0.75508, 1.2573000000000002E-06, 2.4300000000000003E-12, 
DataValue, 0.57000000000000006, 1, 3.4E-13, 1.2588000000000001E-06, 0.73696, 1.2588000000000001E-06, 3.4E-13, 
DataValue, 0.6, 1, -2.5E-13, 1.2478000000000002E-06, 0.71683999999999992, 1.2478000000000002E-06, 2.5E-13, 
DataValue, 0.63, 1, 1.5300000000000001E-12, 1.2482000000000002E-06, 0.6914, 1.2482000000000002E-06, 1.5300000000000001E-12, 
DataValue, 0.66, 1, 1.02E-12, 1.2489000000000002E-06, 0.68212, 1.2489000000000002E-06, 1.02E-12, 
DataValue, 0.69000000000000006, 1, 5.9E-13, 1.2425000000000002E-06, 0.66399999999999992, 1.2425000000000002E-06, 5.9E-13, 
DataValue, 0.72, 1, -5.4E-13, 1.2466E-06, 0.65535999999999994, 1.2466E-06, 5.4E-13, 
DataValue, 0.75, 1, 4.2000000000000003E-13, 1.2555E-06, 0.64572, 1.2555E-06, 4.2000000000000003E-13, 
DataValue, 0.78, 1, -2.2000000000000002E-13, 1.2694E-06, 0.63888, 1.2694E-06, 2.2000000000000002E-13, 
DataValue, 0.81, 1, 9.1000000000000016E-13, 1.2833E-06, 0.62908, 1.2833E-06, 9.1000000000000016E-13, 
DataValue, 0.84, 1, -7E-14, 1.3105000000000002E-06, 0.621, 1.3105000000000002E-06, 7E-14, 
DataValue, 0.87, 1, -2.9000000000000003E-13, 1.3272000000000002E-06, 0.61896, 1.3272000000000002E-06, 2.9000000000000003E-13, 
DataValue, 0.9, 1, 5.9E-13, 1.334E-06, 0.61836, 1.334E-06, 5.9E-13, 
DataValue, 0.93, 1, -5.5000000000000008E-13, 1.3657000000000001E-06, 0.61548, 1.3657000000000001E-06, 5.5000000000000008E-13, 
DataValue, 0.96, 1, 7E-14, 1.3861000000000002E-06, 0.61396, 1.3861000000000002E-06, 7E-14, 
DataValue, 0.99, 1, 6.400000000000001E-13, 1.4114000000000002E-06, 0.6172, 1.4114000000000002E-06, 6.400000000000001E-13, 
DataValue, 1.02, 1, 3.4E-13, 1.4365000000000001E-06, 0.61588, 1.4365000000000001E-06, 3.4E-13, 
DataValue, 1.05, 1, 2.4000000000000004E-13, 1.4681000000000002E-06, 0.61512, 1.4681000000000002E-06, 2.4000000000000004E-13, 
DataValue, 1.08, 1, 1.1900000000000002E-12, 1.5082000000000002E-06, 0.61827999999999994, 1.5082000000000002E-06, 1.1900000000000002E-12, 
DataValue, 1.11, 1, 5E-14, 1.5446000000000002E-06, 0.6188, 1.5446000000000002E-06, 5E-14, 
DataValue, 1.1400000000000001, 1, -4.4000000000000004E-13, 1.5925000000000002E-06, 0.62388, 1.5925000000000002E-06, 4.4000000000000004E-13, 
DataValue, 1.17, 1, 4.2000000000000003E-13, 1.6230000000000002E-06, 0.62515999999999994, 1.6230000000000002E-06, 4.2000000000000003E-13, 
DataValue, 1.2, 1, -1.8000000000000002E-13, 1.6649000000000001E-06, 0.62991999999999992, 1.6649000000000001E-06, 1.8000000000000002E-13, 
DataValue, 1.23, 1, 2.6E-13, 1.7137000000000002E-06, 0.63496, 1.7137000000000002E-06, 2.6E-13, 
DataValue, 1.26, 1, 3.4E-13, 1.7621000000000003E-06, 0.63788, 1.7621000000000003E-06, 3.4E-13, 
DataValue, 1.29, 1, 4.9E-13, 1.7960000000000003E-06, 0.64472, 1.7960000000000003E-06, 4.9E-13, 
DataValue, 1.32, 1, 4.9E-13, 1.8481000000000001E-06, 0.6494, 1.8481000000000001E-06, 4.9E-13, 
DataValue, 1.35, 1, 5.2E-13, 1.8929000000000001E-06, 0.65467999999999993, 1.8929000000000001E-06, 5.2E-13, 
DataValue, 1.3800000000000001, 1, 1.0500000000000002E-12, 1.9479E-06, 0.66028, 1.9479E-06, 1.0500000000000002E-12, 
DataValue, 1.41, 1, 4.9E-13, 1.9956E-06, 0.66732, 1.9956E-06, 4.9E-13, 
DataValue, 1.44, 1, 9.0000000000000008E-14, 2.0535000000000003E-06, 0.67252, 2.0535000000000003E-06, 9.0000000000000008E-14, 
DataValue, 1.47, 1, 4.8000000000000008E-13, 2.104E-06, 0.67916, 2.104E-06, 4.8000000000000008E-13, 
DataValue, 1.5, 1, 4.0000000000000006E-14, 2.1546E-06, 0.68624, 2.1546E-06, 4.0000000000000006E-14, 
DataValue, 1.53, 1, -2.2000000000000002E-13, 2.2038000000000004E-06, 0.6944, 2.2038000000000004E-06, 2.2000000000000002E-13, 
DataValue, 1.56, 1, 1.9000000000000002E-13, 2.2718000000000004E-06, 0.69795999999999991, 2.2718000000000004E-06, 1.9000000000000002E-13, 
DataValue, 1.59, 1, 8.1000000000000008E-13, 2.3333E-06, 0.70595999999999992, 2.3333E-06, 8.1000000000000008E-13, 
DataValue, 1.62, 1, 8E-13, 2.4005E-06, 0.71227999999999991, 2.4005E-06, 8E-13, 
DataValue, 1.6500000000000001, 1, 1.03E-12, 2.4575E-06, 0.71971999999999992, 2.4575E-06, 1.03E-12, 
DataValue, 1.68, 1, 6.1E-13, 2.5125E-06, 0.72583999999999993, 2.5125E-06, 6.1E-13, 
DataValue, 1.71, 1, -5E-14, 2.5786E-06, 0.73468, 2.5786E-06, 5E-14, 
DataValue, 1.74, 1, 8.0000000000000013E-14, 2.6486000000000004E-06, 0.74108, 2.6486000000000004E-06, 8.0000000000000013E-14, 
DataValue, 1.77, 1, 6.3E-13, 2.7088000000000002E-06, 0.74847999999999992, 2.7088000000000002E-06, 6.3E-13, 
