
SetupTitle, I/V-t Sampling-inverter
PrimitiveTest, I/V-t Sampling
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, Time
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, 1
TestParameter, Output.Graph.XAxis.Right, 41.300000000000004
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, Vo, Idd, Vbg
TestParameter, Output.Graph.YAxis.Scale, Linear, Linear, Linear
TestParameter, Output.Graph.YAxis.Bottom, -5, -0.1, -5
TestParameter, Output.Graph.YAxis.Top, 5, 0.1, 5
TestParameter, Output.Graph.YAxis.Group, , , 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true, true, true
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Var2StepCount, 1
TestParameter, AutoAnalysis.Var2StepScript, 
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
TestParameter, Measurement.Sampling.StopCondition.Enabled, false
TestParameter, Measurement.Sampling.StopCondition.EnableDelay, 0
TestParameter, Measurement.Sampling.StopCondition.Name, 
TestParameter, Measurement.Sampling.StopCondition.Threshold, 0
TestParameter, Measurement.Sampling.StopCondition.Event, Val > Th
TestParameter, Measurement.Sampling.StopCondition.EventCount, 1
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 12/04/2022 12:35:28
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 11
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 28611129-445f-4da5-9634-1ff62f130e55
MetaData, TestRecord.Parameters, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Time
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, s
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 5.2
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, Vo, Idd, Vbg
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true, true, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, V, A, V
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear, Linear, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 0.85, 2.6E-07, 0.0013
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 1.4, 2.3E-05, 3.1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 4.7976190476190483
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, -1.5454545454545456
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 4.7976190476190483
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, -1.5454545454545456
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 4.7976190476190483
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, -1.5454545454545456
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 4.7976190476190483
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, -1.5454545454545456
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 4.7976190476190483
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, -1.5454545454545456
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0	0
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, I/V-t Sampling-inverter
Dimension1, 401, 401, 401, 401
Dimension2, 1, 1, 1, 1
DataName, Time, Vbg, Vo, Idd
DataValue, 1.00041, 0.99764, 1.0766799999999999, 3.5269000000000005E-06
DataValue, 1.0203900000000001, 0.82331999999999994, 1.0246, 4.1967000000000008E-06
DataValue, 1.03035, 0.74032, 1.00848, 5.2499E-06
DataValue, 1.0403900000000002, 0.66216, 0.99268, 6.3756E-06
DataValue, 1.0503900000000002, 0.58316, 0.98183999999999994, 7.722500000000001E-06
DataValue, 1.0604, 0.51296, 0.9772, 9.0840000000000015E-06
DataValue, 1.0703900000000002, 0.44211999999999996, 0.97283999999999993, 1.0538800000000002E-05
DataValue, 1.0803900000000002, 0.37895999999999996, 0.9752, 1.5086000000000001E-05
DataValue, 1.1103500000000002, 0.20976, 0.98512, 1.639E-05
DataValue, 1.1203500000000002, 0.16735999999999998, 0.98847999999999991, 1.7908000000000002E-05
DataValue, 1.1303500000000002, 0.12592, 0.99196, 1.8892E-05
DataValue, 1.1403500000000002, 0.09208, 0.99888, 2.0286000000000002E-05
DataValue, 1.15039, 0.06184, 0.99879999999999991, 2.0748000000000002E-05
DataValue, 1.16039, 0.03768, 0.99956, 2.1700000000000002E-05
DataValue, 1.17039, 0.02172, 1.00152, 2.198E-05
DataValue, 1.18035, 0.008, 1.00616, 2.2538E-05
DataValue, 1.19039, 0.00348, 1.00324, 2.2524E-05
DataValue, 1.2003300000000001, 0.00268, 1.00068, 2.2492E-05
DataValue, 1.21039, 0.009, 0.99944, 2.1876000000000002E-05
DataValue, 1.2203400000000002, 0.02036, 1.00072, 2.1432E-05
DataValue, 1.23038, 0.03832, 0.99427999999999994, 2.055E-05
DataValue, 1.24038, 0.06156, 0.99264, 1.971E-05
DataValue, 1.25038, 0.09196, 0.99024, 1.8566E-05
DataValue, 1.2613400000000001, 0.12491999999999999, 0.98347999999999991, 1.7294E-05
DataValue, 1.27038, 0.16627999999999998, 0.97508, 1.5832E-05
DataValue, 1.28092, 0.21056, 0.96592, 1.435E-05
DataValue, 1.29035, 0.26123999999999997, 0.96, 1.2856E-05
DataValue, 1.3003900000000002, 0.31795999999999996, 0.96092, 1.154E-05
DataValue, 1.3103900000000002, 0.37736, 0.95807999999999993, 9.848E-06
DataValue, 1.3203500000000001, 0.44336, 0.95524, 7.9765E-06
DataValue, 1.3304, 0.51076, 0.96251999999999993, 6.9619000000000011E-06
DataValue, 1.3403500000000002, 0.58395999999999992, 0.96827999999999992, 5.8469000000000007E-06
DataValue, 1.3503900000000002, 0.65972, 0.98468, 4.7118E-06
DataValue, 1.3603900000000002, 0.741, 1.00228, 3.7280000000000006E-06
DataValue, 1.3703500000000002, 0.8208, 1.02508, 2.9372000000000004E-06
DataValue, 1.38039, 0.90976, 1.04796, 2.2553000000000002E-06
DataValue, 1.39039, 0.99591999999999992, 1.0853599999999999, 1.6877000000000002E-06
DataValue, 1.4003500000000002, 1.0866799999999999, 1.1194, 1.2888E-06
DataValue, 1.4103500000000002, 1.17628, 1.1674, 8.6094E-07
DataValue, 1.4305700000000001, 1.36568, 1.2702799999999999, 5.3034E-07
DataValue, 1.44035, 1.4596799999999999, 1.30676, 4.2883999999999997E-07
DataValue, 1.45035, 1.5524, 1.34536, 3.1582E-07
DataValue, 1.46039, 1.64912, 1.1044, 2.6418E-07
DataValue, 1.47039, 1.74064, 0.88544, 4.0586E-07
DataValue, 1.48045, 1.8359599999999998, 0.88144, 6.0292E-07
DataValue, 1.49038, 1.9247599999999998, 0.87991999999999992, 7.9722E-07
DataValue, 1.5003900000000001, 2.0166399999999998, 0.88035999999999992, 1.00552E-06
DataValue, 1.5213200000000002, 2.19388, 0.87379999999999991, 2.2658000000000004E-06
DataValue, 1.54065, 2.3548, 0.89843999999999991, 2.4359000000000003E-06
DataValue, 1.5509700000000002, 2.4328000000000003, 0.88608, 2.9242000000000003E-06
DataValue, 1.5603900000000002, 2.504, 0.88903999999999994, 3.3878000000000004E-06
DataValue, 1.57034, 2.5660000000000003, 0.89444, 3.8845000000000007E-06
DataValue, 1.5812300000000001, 2.6392, 0.90328, 4.3856000000000008E-06
DataValue, 1.5903800000000001, 2.6928, 0.90435999999999994, 4.8185000000000005E-06
DataValue, 1.6010400000000002, 2.7532, 0.90364, 5.2504000000000006E-06
DataValue, 1.6104, 2.7992000000000004, 0.90435999999999994, 5.6490000000000005E-06
DataValue, 1.62036, 2.8504, 0.90904, 5.9842E-06
DataValue, 1.6304, 2.8844000000000003, 0.90723999999999994, 6.3402000000000007E-06
DataValue, 1.6403900000000002, 2.9248000000000003, 0.90392, 6.647800000000001E-06
DataValue, 1.6503900000000003, 2.9476000000000004, 0.91364, 6.8682000000000006E-06
DataValue, 1.6603500000000002, 2.9768000000000003, 0.91787999999999992, 7.0149E-06
DataValue, 1.67039, 2.9892000000000003, 0.9178, 7.1425000000000006E-06
DataValue, 1.6803500000000002, 3.0076, 0.91531999999999991, 7.2175000000000008E-06
DataValue, 1.69154, 3.0136000000000003, 0.9258, 7.1928000000000008E-06
DataValue, 1.7003800000000002, 3.0144, 0.9166, 7.1721E-06
DataValue, 1.71039, 3.0020000000000002, 0.92131999999999992, 7.1423000000000011E-06
DataValue, 1.7203800000000002, 2.9948, 0.91204, 6.9909000000000011E-06
DataValue, 1.73039, 2.9712, 0.91467999999999994, 6.7673E-06
DataValue, 1.74039, 2.954, 0.90816, 6.4869000000000005E-06
DataValue, 1.7503900000000001, 2.9188, 0.91052, 6.1850000000000009E-06
DataValue, 1.7603900000000001, 2.8892, 0.91216, 5.762800000000001E-06
DataValue, 1.7703900000000001, 2.8440000000000003, 0.90711999999999993, 5.4702000000000006E-06
DataValue, 1.7803900000000001, 2.8052, 0.90972, 4.9642000000000007E-06
DataValue, 1.7903900000000002, 2.7476000000000003, 0.89967999999999992, 4.6004000000000009E-06
DataValue, 1.8003500000000001, 2.6992000000000003, 0.88752, 4.0774E-06
DataValue, 1.81034, 2.6324, 0.8896, 3.6573000000000005E-06
DataValue, 1.82034, 2.5732000000000004, 0.8822, 3.1929000000000004E-06
DataValue, 1.8303800000000001, 2.4988, 0.87615999999999994, 2.6564E-06
DataValue, 1.84034, 2.4320000000000004, 0.87688, 2.2806000000000002E-06
DataValue, 1.85078, 2.3476000000000004, 0.86835999999999991, 1.8769000000000002E-06
DataValue, 1.86034, 2.2756000000000003, 0.87168, 1.5123000000000001E-06
DataValue, 1.8703900000000002, 2.1876, 0.85956, 1.2009000000000002E-06
DataValue, 1.8803900000000002, 2.1068000000000002, 0.86615999999999993, 8.7168E-07
DataValue, 1.9006100000000001, 1.9267599999999998, 0.86991999999999992, 5.2286E-07
DataValue, 1.9103900000000003, 1.8312, 0.87076, 3.6688E-07
DataValue, 1.9203900000000003, 1.74528, 1.34744, 3.1122E-07
DataValue, 1.9303500000000002, 1.64644, 1.3748399999999998, 3.9506E-07
DataValue, 1.94039, 1.5584, 1.3362399999999999, 5.3448E-07
DataValue, 1.95039, 1.45692, 1.2909599999999999, 6.7618E-07
DataValue, 1.9603800000000002, 1.3676, 1.23776, 8.8456E-07
DataValue, 1.9703400000000002, 1.2685199999999999, 1.19184, 1.10888E-06
DataValue, 1.99039, 1.0837999999999999, 1.11208, 2.7431000000000005E-06
DataValue, 2.0203900000000004, 0.82616, 1.02108, 4.1643E-06
DataValue, 2.03039, 0.73847999999999991, 1.00756, 5.0794000000000009E-06
DataValue, 2.04082, 0.65992, 0.9872, 6.3126E-06
DataValue, 2.0503400000000003, 0.58068, 0.97968, 7.519700000000001E-06
DataValue, 2.0603900000000004, 0.51472, 0.97115999999999991, 8.9937000000000017E-06
DataValue, 2.0705400000000003, 0.43904, 0.96951999999999994, 1.06419E-05
DataValue, 2.08034, 0.3818, 0.96571999999999991, 1.5766E-05
DataValue, 2.12035, 0.17048, 0.98339999999999994, 1.756E-05
DataValue, 2.1303900000000002, 0.1226, 0.9882, 1.8644E-05
DataValue, 2.14035, 0.09491999999999999, 0.99376, 1.9938E-05
DataValue, 2.15035, 0.0576, 0.99735999999999991, 2.0660000000000002E-05
DataValue, 2.16039, 0.041159999999999995, 0.99935999999999992, 2.1566E-05
DataValue, 2.17035, 0.01816, 0.9972399999999999, 2.1694E-05
DataValue, 2.1803500000000002, 0.01128, 1.00156, 2.2324000000000002E-05
DataValue, 2.1910600000000002, 0.00188, 1.00272, 2.2198E-05
DataValue, 2.20039, 0.00592, 1.0016399999999999, 2.2286E-05
DataValue, 2.2103900000000003, 0.00428, 0.99796, 2.1684E-05
DataValue, 2.22039, 0.02404, 0.99859999999999993, 2.1466E-05
DataValue, 2.2303900000000003, 0.03424, 0.99447999999999992, 2.0488E-05
DataValue, 2.2415100000000003, 0.06276, 0.98988, 1.9568E-05
DataValue, 2.2503900000000003, 0.08836, 0.9862, 1.8394E-05
DataValue, 2.26039, 0.1296, 0.98168, 1.7422E-05
DataValue, 2.2703900000000004, 0.16227999999999998, 0.975, 1.5890000000000002E-05
DataValue, 2.2803500000000003, 0.21456, 0.9692, 1.4524E-05
DataValue, 2.2903900000000004, 0.25808, 0.96107999999999993, 1.2802E-05
DataValue, 2.3006200000000003, 0.32211999999999996, 0.95895999999999992, 1.1370000000000001E-05
DataValue, 2.3103900000000004, 0.37379999999999997, 0.95463999999999993, 9.4298E-06
DataValue, 2.3204700000000003, 0.44776, 0.95383999999999991, 8.2539E-06
DataValue, 2.3303900000000004, 0.50728, 0.96168, 6.8098000000000004E-06
